Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8             ND9             ND10           Egz.
Vardas0              Pavarde0              0              10             9              2              2              0              5              8              0              8              9              
Vardas1              Pavarde1              10             2              10             3              3              3              5              5              6              6              1              
Vardas2              Pavarde2              6              0              4              3              4              6              9              10             8              3              4              
Vardas3              Pavarde3              8              10             0              3              10             7              0              5              4              1              7              
Vardas4              Pavarde4              6              7              0              4              5              1              1              5              1              9              5              
Vardas5              Pavarde5              6              6              10             3              9              6              4              7              4              6              1              
Vardas6              Pavarde6              10             9              9              9              1              10             10             8              7              7              0              
Vardas7              Pavarde7              0              5              5              0              5              7              4              8              2              8              10             
Vardas8              Pavarde8              3              0              7              1              0              4              6              2              6              2              0              
Vardas9              Pavarde9              9              4              6              2              5              8              4              4              5              9              0              
Vardas10             Pavarde10             8              0              0              10             9              4              0              6              2              2              5              
Vardas11             Pavarde11             0              5              10             1              3              1              3              9              1              8              10             
Vardas12             Pavarde12             1              7              7              9              4              10             2              0              5              7              9              
Vardas13             Pavarde13             7              3              3              2              9              0              8              7              9              6              3              
Vardas14             Pavarde14             2              6              0              8              8              1              0              8              5              4              6              
Vardas15             Pavarde15             0              9              7              5              6              5              1              3              8              0              1              
Vardas16             Pavarde16             1              2              0              7              10             1              6              8              0              0              4              
Vardas17             Pavarde17             3              3              3              9              6              7              7              5              7              0              4              
Vardas18             Pavarde18             8              0              5              9              3              7              10             8              4              0              4              
Vardas19             Pavarde19             3              0              8              10             7              10             0              10             3              10             2              
Vardas20             Pavarde20             3              7              1              1              5              4              10             10             9              1              1              
Vardas21             Pavarde21             2              0              5              6              9              5              8              2              10             9              10             
Vardas22             Pavarde22             1              8              4              0              10             7              7              6              10             1              6              
Vardas23             Pavarde23             5              5              1              2              3              7              1              1              1              2              7              
Vardas24             Pavarde24             6              7              3              7              5              10             9              6              7              4              5              
Vardas25             Pavarde25             5              2              1              0              0              3              6              8              8              8              4              
Vardas26             Pavarde26             3              5              1              1              3              0              9              8              3              7              0              
Vardas27             Pavarde27             2              3              3              7              4              1              9              8              8              5              6              
Vardas28             Pavarde28             4              5              4              10             7              3              0              4              9              6              3              
Vardas29             Pavarde29             8              2              0              2              9              9              9              5              0              2              2              
Vardas30             Pavarde30             9              2              10             9              3              9              9              8              7              10             2              
Vardas31             Pavarde31             8              0              4              5              9              5              6              7              7              5              9              
Vardas32             Pavarde32             5              10             10             1              10             7              0              1              0              6              8              
Vardas33             Pavarde33             7              3              8              5              7              2              6              0              10             9              10             
Vardas34             Pavarde34             5              2              9              10             2              5              9              2              2              4              8              
Vardas35             Pavarde35             0              5              10             0              7              1              8              3              6              2              2              
Vardas36             Pavarde36             7              10             10             10             1              6              8              10             7              9              9              
Vardas37             Pavarde37             8              8              8              3              10             0              8              7              6              0              6              
Vardas38             Pavarde38             4              2              4              10             7              1              8              4              4              4              0              
Vardas39             Pavarde39             6              6              0              4              0              9              6              8              3              3              3              
Vardas40             Pavarde40             5              4              8              6              3              2              0              6              3              8              4              
Vardas41             Pavarde41             0              7              6              9              2              1              5              10             9              5              10             
Vardas42             Pavarde42             4              6              0              8              6              5              9              10             9              6              6              
Vardas43             Pavarde43             10             3              7              7              8              2              8              8              9              3              1              
Vardas44             Pavarde44             6              4              4              10             9              3              10             3              5              1              4              
Vardas45             Pavarde45             5              10             3              7              3              0              4              7              5              10             1              
Vardas46             Pavarde46             3              9              1              6              1              9              4              3              10             10             8              
Vardas47             Pavarde47             4              1              5              1              4              7              2              0              6              10             5              
Vardas48             Pavarde48             5              1              2              10             1              0              5              0              5              2              3              
Vardas49             Pavarde49             1              1              1              6              5              0              3              2              9              8              0              
Vardas50             Pavarde50             8              3              8              9              2              2              6              0              5              8              5              
Vardas51             Pavarde51             8              4              7              4              7              10             1              9              4              10             9              
Vardas52             Pavarde52             2              3              4              5              1              1              7              1              2              0              7              
Vardas53             Pavarde53             7              2              6              6              4              6              10             2              6              7              0              
Vardas54             Pavarde54             8              3              1              3              7              1              0              4              8              4              2              
Vardas55             Pavarde55             7              0              3              3              5              0              10             4              1              6              0              
Vardas56             Pavarde56             6              10             7              6              10             9              10             5              5              6              2              
Vardas57             Pavarde57             9              10             4              9              6              4              0              5              1              6              0              
Vardas58             Pavarde58             0              2              9              5              2              7              6              8              8              9              1              
Vardas59             Pavarde59             9              1              8              5              5              0              9              1              0              10             10             
Vardas60             Pavarde60             9              10             7              9              0              4              8              6              10             9              8              
Vardas61             Pavarde61             1              6              5              4              2              2              3              0              8              1              6              
Vardas62             Pavarde62             8              4              8              10             9              3              8              5              4              1              0              
Vardas63             Pavarde63             9              2              6              7              5              4              5              9              5              6              3              
Vardas64             Pavarde64             1              9              8              10             5              5              1              10             8              7              1              
Vardas65             Pavarde65             9              8              9              9              8              3              5              3              6              4              2              
Vardas66             Pavarde66             0              7              5              8              3              9              6              8              5              4              10             
Vardas67             Pavarde67             2              3              8              3              7              3              0              4              1              7              6              
Vardas68             Pavarde68             2              2              9              3              4              5              7              2              6              6              5              
Vardas69             Pavarde69             0              1              7              3              8              7              2              5              10             5              1              
Vardas70             Pavarde70             8              1              1              1              2              1              9              0              4              0              9              
Vardas71             Pavarde71             1              3              10             0              2              0              7              1              7              3              3              
Vardas72             Pavarde72             7              1              8              8              6              9              3              8              0              1              4              
Vardas73             Pavarde73             2              6              6              8              10             6              5              5              3              7              8              
Vardas74             Pavarde74             7              2              0              1              9              7              0              7              4              10             6              
Vardas75             Pavarde75             2              1              6              5              3              5              6              9              1              7              10             
